#id,value
sections-0/paragraphs-0/list-3/link,https://drive.google.com/open?id=0B1Oup9NEQTK3WFU5eGF3RHRheU0
sections-0/paragraphs-0/list-5/link,https://drive.google.com/open?id=0B1Oup9NEQTK3cFJBMTlJT0VhcU0
sections-0/paragraphs-0/list-7/link,https://drive.google.com/open?id=0B1Oup9NEQTK3TXN0dmdUaGxhUVU
sections-0/paragraphs-0/list-0/link,https://drive.google.com/drive/folders/0B1Oup9NEQTK3YndKdGs4d2JONWs?usp=sharing
sections-1/title,The position of government organizations on the project of main E40 waterway restoration
slug,e40
sections-0/paragraphs-0/list-3/text,"05.2015, First Interim Report"
sections-0/paragraphs-0/list-2/text,Environmental assessment
sections-1/paragraphs-0/list-0/text,Written responses of government organizations
sections-1/paragraphs-0/list-0/link,https://drive.google.com/open?id=0B1Oup9NEQTK3TFExckZOdTUzZjQ
sections-0/paragraphs-0/list-7/text,Description of the project
sections-0/paragraphs-0/list-5/text,"08.2015, Second interim report"
sections-0/paragraphs-0/list-6/link,https://drive.google.com/open?id=0B1Oup9NEQTK3aXpOUzNacS04M0U
sections-0/paragraphs-0/list-1/text,Expert advice
sections-0/paragraphs-0/list-2/link,https://drive.google.com/open?id=0B1Oup9NEQTK3R2ZMdjctbzlQYjg
sections-0/paragraphs-0/list-4/text,"06.2016, UN Minutes of an Environmental Council meeting"
sections-0/paragraphs-0/list-4/link,https://drive.google.com/open?id=0B1Oup9NEQTK3Y3dyUkhFQVpDSk0
sections-0/paragraphs-0/list-0/text,Project brochure
lead,"We collected documents on the E40 waterway project which are available for public use, e. g. brochures, various feasibility studies and an environmental assessment of the project. Also here you can find 17 responses from various state institutions of Belarus to the official inquiries of an NGO ""Bahna"" about their position on the route arrangement project."
cover,
sections-0/title,Documents provided on the E40 waterway restoration project
sections-0/paragraphs-0/list-1/link,https://drive.google.com/open?id=0B1Oup9NEQTK3Ym52c196M0lWMnM
sections-0/paragraphs-0/list-6/text,"30.06.2015, Comments by DNEPROBUG on the 1st IntR_En"
teaser,Officially: what is the essence of E40 waterway restoration project and what do the government organizations of Belarus think about it.
id,6
date,
title,About E40
