#id,value
sections-0/sections-4/paragraphs-0/text,"Yes, carbon dioxide emissions reduction is supposed to be one of the advantages the project gives to the society. At the same time, there is no any kind of quantitative calculations of carbon dioxide emissions. We know from other (including our own) development that CO2 emissions associated with inland water transport are generally comparable to those from rail transport (the comparative table is presented in the material “Evaluation of the document"" Restoration of Inland Waterway E40 Dnieper-Vistula: from Strategy to Planning. Final Feasibility Study Report """
sections-0/sections-5/paragraphs-1/text,"However, I do not put a cross on water transport as such. In the circles of Polish NGOs, one can often hear such a slogan: ""You do not have to adapt the river to the ships, you have to adapt the ships to the river"". If the river allows you to transport cargo without huge investments - why not. But in the case of our rivers, which for the most part are flat, shallow and heavily meandering, large-tonnage transit traffic does not make sense. Local and tourist transportation is possible."
sections-0/title,Svyatoslav Volosyuk
sections-0/sections-0/paragraphs-0/text,"At the request of non-governmental organizations of Belarus and Poland, I with my colleague Mykola Tchaikovsky, a professor at the University of Warsaw, have analyzed a document entitled ""Restoration of the E-40 main waterway on the Dnipro-Vistula section: from strategy to planning"" and concluded that it cannot be an argument in favor of the project."
slug,economic-mistakes
sections-0/sections-6/quote/text,"""In continental Europe with severe winters and the navigation period limited to several months, such projects are likely to be systematically uncompetitive"""
cover,/static/covers/frozen-river.jpg
sections-0/sections-0/title,How did you conduct the feasibility study? What are the main complaints about the document you have?
sections-0/sections-2/quote/text,"""If you take into account the costs of the E40 whole route in the analysis, and also include investment costs and external costs, then it will not be possible to talk about the project profitability"""
sections-0/sections-5/paragraphs-0/text,"Warsaw Ecological Economics Center (a unit of the University of Warsaw I work with) performed analysis for a similar project at the Oder. Colleagues came to the conclusion that the projects on the water transport development are expedient only in very specific cases. Very important for water transport is the way investment costs (one-time long-term investments) correlate with operational costs (aimed at maintaining current work). If annual operating costs are more than 1% of investment costs, then the project, as a rule, becomes unprofitable. In the case of the Oder project, this proportion was 3-5%. In continental Europe with severe winters and the navigation period limited to several months, such projects are likely to be systematically uncompetitive."
sections-0/sections-0/paragraphs-1/text,"The main claim to this report is the methodological mistakes made in its development. The document was announced as an analysis of the benefits and costs on the E40 waterway restoration project - this kind of evaluation should be consistent with the neoclassical theory of the public welfare economy. However, the report did not take into account the huge investment costs - about 12 billion euros. From our point of view, this in fact disqualifies the report."
sections-0/sections-4/quote/text,"""Carbon dioxide emissions associated with inland water transport are generally comparable to emissions from rail transport"""
teaser,
sections-0/profile/caption,"Research staff member of the University of Warsaw, economist"
sections-0/sections-2/paragraphs-1/text,"Notably, in the case of the Middle Bug, the authors of the document considered that the presence of protected natural areas there is an argument for not to transform the river bed and coastal ecosystems, but to build a bypass channel. However, in the Vistula lower reaches the problem is absolutely analogous, not to mention the five dozen protected areas on the territory of Belarus and Ukraine, which were not included in the document at all."
sections-0/sections-4/title,One of the E40 project developers’ main arguments is the reduction of carbon dioxide emissions into the atmosphere during the transportation of goods on water. What is said about this in the feasibility study?
sections-0/sections-6/paragraphs-1/text,"Developers of the project E40, in my opinion, have mixed up the purpose and means. The document ""Restoration of the E-40 main waterway on the Dnieper-Vistula section: from strategy to planning"" has a quote, which, from my point of view, conveys well the philosophy of developers. It reads as follows: “...Waterways presented in the report are analysed in the model from optimistic viewpoint because they may seem to be the main ways geographically, while in practice shipping may be difficult or simply impossible (as in the case of E40). However, after serious recent investments in road, rail and air infrastructure, it is time to draw attention to the waterways...” <em>["" Waterways presented in the report are analysed in the model from optimistic viewpoint because they may seem to be the main ways geographically, while in practice shipping may be difficult or simply impossible (as in the case of E40). However, after serious recent investments in road, rail and air infrastructure, it is time to draw attention to the waterways..."" – Editor's note]</ em>. Judging by this phrase, it seems to me that for the developers of this document the issues of social, economic, ecological efficiency of the E40 construction project are purely secondary."
sections-0/sections-2/title,You said that the document was worked out only for two sections of the E40 route. Which ones?
sections-0/sections-3/title,"The feasibility study indicates that the planned E40 cargo flow is 6 million tons per year. Is it clear from the document, where did these figures come from?"
sections-0/sections-3/paragraphs-1/text,"The verification of the calculations quality is how an economic model behaves when the initial parameters change. This is called the ""sensitivity analysis of the model,"" and in this case, such work has not been carried out either."
sections-0/sections-5/title,How competitive is water transport?
date,2017-07-31
sections-0/profile/name,Svyatoslav Volosyuk
sections-0/sections-1/paragraphs-0/text,"When it comes to such large-scale projects as the E40, in order to understand whether it is beneficial for society, you need to fully estimate all the benefits and all the costs that arise as a result of its implementation. The external costs, that is, the costs that third parties have against their will while implementing the project must be also taken into account. In the existing document they are not by and large taken into account. And the developers claim that these costs cannot be estimated - but this is not true, in modern theory and practice of economy there are ways to assess them. If the benefits exceed the costs, then we can say that the project is useful for society and increases its welfare. This may be an argument for the object to be financed from public sources."
