#id,value
sections-0/sections-5/paragraphs-2/text,"According to BUEE analysts, oil products and potash fertilizers are on the top of a very short list of goods which can be shipped via E40. Both these goods, especially oil products should be considered as dangerous cargo.There is a risk of serious man-made disasters due to the arrangement of mass delivery of oil products via our rivers. But for some reason the authors of feasibility study(FS) didn't say a word about the risk. "
lead,"""The project can have a negative impact on Belarusian economy"". Economist Ales Herasimenka and his colleagues from Business Union of Entrepreneurs and Employers after professor Kunyavskii have assessed the feasibility study of the project and concluded that developers are too optimistic about it."
sections-0/profile/caption,"The spokeperson of Business Union of Entrepreneurs and Employers after professor Kunyavskii (BUEE); the deputy editor-in-chief of ""Belarusy i rynok"""
sections-0/sections-0/paragraphs-2/text,"Real risks are connected not with possible economic stagnation of the district, but with a chance of E40, after having been enormous invested, can be ignored by consignors for many reasons. Accordingly, investments won't bring proper economic benefit and infrastructurel expenses for Belarusian tract which according to preliminary assessments can reach approximately 150 mln. € are unlikely to be covered. FS developers offer to consider this project as an infrastructural one, i.e. not to count on the recovery of capital expenditure but rely on a multiplicative effect on economy itself. However, according to BUEE, this effect is likely to be negative."
sections-0/sections-2/paragraphs-0/text,"E40 modernisation doesn't give any obvious advantages. According to key parameters, inland water transport can't compete with auto and railway transport in delivery speed, operating small cargo volumes, using flexible  logistics schemes. Water transport has seasonal limits, for instance, winter freeze-up or spring flood."
sections-0/sections-3/title,To what extent can state treasury expenses increase in case of the project implementation?
sections-0/sections-3/paragraphs-2/text,"According to BUEE analysts, taking into consideration such deep subsidies, the rearrangement of cargo flows for E40 can cause only one ""multiplicative effect"" for the country - significant increase of annual budget expenses."
sections-0/sections-4/paragraphs-2/text,"In the meantime, the question is why the final FS didn't contain calculations of cargo intercepted from railway and auto transport. Doesn't it mean they tried to avoid this fact as well as other  sensitive issues of the project?"
sections-0/sections-5/paragraphs-0/text,"The project seems to be quite hazardous. On the one hand, its economic expediency is doubtful. Cargo delivery logistics has already been established in the district and new E40 waterway bodes nothing cardinally new. In the meantime, nowadays the whole Belarusian tract of the waterway has been already navigable and barges carrying up to 1000 tons can  travel via it. This is an equivalent of a train. Theoretically, a great cargo variety can be transported from Kherson to Brest: bulk, heavy and even container cargo. But companies are not eager to use this delivery channel."
slug,negative-economics
sections-0/sections-0/paragraphs-0/text,"Assessing the waterway infrastructure project, BUEE experts were analysing the data and calculations of feasible study(FS) prepared by Maritime Institute in Gdansk, open statistics and industry specific features of trasport and logistics sector."
sections-0/sections-2/paragraphs-2/text,"According to BUEE assessments, the majority of consignor companies will be not interested in E40 waterway, even if it is modernised. Accordingly, there is a risk the government will have to extremely subsidise tariffs on delivery or use administrative resources to encourage waterway cargo, to the detriment of some consignor companies' interests."
sections-0/sections-3/quote/text,"""There is a risk the government will have to subsidise tariffs on delivery or use administrative resources to encourage waterway cargo"""
