#id,value
tabs-0/name,e40
tabs-1/paragraphs-0/text,"This is a project of construction of a shipping route over 2,000 km which is going to be laid through Visla, Pripyat and Dnieper and connect Baltic and Black Seas. The project involves building a free canal in Poland, six-seven dams and locks on Pripyat deepened throughout the whole route for large tonnage vessels of the river-sea class to navigate our rivers. A coalition of three counties led by Dnieper-Bug Republican Unitary Maintenance and Construction Enterprise (RUMCE) has taken the initiative to the E40 construction."
tabs-1/paragraphs-0/id,1
tabs-1/name,stop 
tabs-1/next,why
tabs-2/className,
tabs-2/name,pripyat
tabs-0/id,1
tabs-2/imageClass,image1
tabs-1/title,What is E40?
tabs-1/imageClass,image2
tabs-2/id,3
tabs-2/title, What value there is in Pripyat and Polesye?
tabs-0/paragraphs-0/text,"Stop E40 is a public campaign against construction of the E40 waterway which is going to be laid through rivers of Poland, Belarus and Ukraine. Developers of the project consider that E40 will become a new commercial highway connecting harbours of Baltic and Black Seas, will attract investment to the region and will create new jobs. We are an environmental coalition, we think that this project is maladapted, doesn't make economic sense and that construction of E40 will become a catastrophy for the unique region of Bearusian Plesye as well as the natural territories of Poland and Ukraine."
tabs-0/next,what
tabs-0/className,active
tabs-0/imageClass,image0
tabs-0/paragraphs-0/id,1
tabs-1/id,2
tabs-1/className,
tabs-2/paragraphs-0/id,1
tabs-0/title,What is #Stop_E40?
tabs-2/next,pripyat
tabs-2/paragraphs-0/text,"Pripyat is one of the most biggest undamaged  rivers in Europe. This is the only Belarusian river that flows in east direction, which defines its unique ecosystem. In the river's flood plain 1.5 mln birds recharge during migrations. And on the whole over 90% of total number of birds in Belarus are recorded to inhabit Polesye. E40 waterway will have its impact on the most valuable natural territory in Belarus: Pripyatsky national park, Polesye Radiation and Ecological Reserve, 11 republican and six local reservations. 12 of them are of international significance."
