#id,value
sections-3/sections-4/tables-1/caption,Red Book
sections-5/sections-7/tables-0/rows-1-1,IBA international importance
sections-5/sections-7/tables-0/rows-2-1,"Dove-hawk, Big Spotted Eagle"
sections-2/sections-2/tables-0/rows-0-1,"6685,17 hectares"
sections-2/sections-7/tables-0/rows-0-1,"The largest one-piece forestry complex in Europe. The largest in Europe complex of upland, transitional and lowland bogs, preserved to this day in a natural state. The Olmansk bogs ensure the existence of a significant part (10-20%) of the Belarusian population of bearded owl, and the common wood grouse (Tetrao urogallus) also nests here, the number of which in Polesie is extremely small. here is the largest nesting group of the big spotted eagle in Belarus (Aquila clanga Pallas, 1811) is classified as a Vulnerable species of birds at the world level and recognized as globally threatened in Europe.) - 18-20 pairs, as well as 100-150 pairs a warbling warbler"
sections-3/sections-0/title,"Water-marsh reserve of local significance ""Ales"""
sections-3/sections-0/tables-0/rows-1-0,Specialty
sections-3/sections-4/tables-0/caption,General information
sections-5/sections-0/tables-0/rows-2-0,IBA - forming species
sections-2/sections-6/tables-0/rows-0-0,Specialty
sections-2/sections-7/title,"Republican reserve ""Olmanskie swamp"" "
sections-2/sections-9/title,"Republican Landscape Reserve and Biosphere Reserve ""Polesie Valley of the Bug River"""
sections-3/sections-3/title,"Biological reserve ""Nepokoychitsy"""
sections-5/sections-10/tables-0/rows-2-0,"One of the few places in Belarus where you can see the flowering of rhododendron yellow. The habitat of the gigantic evening is a rare species of bats. Together with the reserve ""Olmanskie bogs"" and the national park ""Pripyatsky"" form a kind of corridor, being part of the ecological network of Polissya"
sections-2/sections-3/tables-0/rows-0-1,
sections-2/sections-10/tables-0/rows-0-0,Area
sections-3/sections-2/tables-0/rows-0-1,"Here there are migration routes of wild boar, moose, roe from the north to the south and in the opposite direction (ecological corridor)"
sections-5/sections-4/tables-0/rows-0-1,12513 hectares
sections-3/sections-4/tables-1/rows-3-0,Map
sections-5/sections-2/tables-0/rows-2-0,IBA-forming species
sections-2/sections-2/tables-1/rows-1-0,Animals
sections-3/sections-4/tables-0/rows-0-1,6654 hectares
sections-3/sections-5/tables-1/rows-0-1,IBA - forming species
sections-5/title,International territories 
sections-2/sections-10/title,"Republican Landscape Reserve ""Mozyr Gullies"" "
sections-3/sections-0/tables-1/rows-0-0,Birds
sections-5/sections-3/tables-0/rows-0-0,Area
sections-5/sections-7/tables-0/rows-1-0,Status
sections-5/sections-8/tables-0/rows-0-0,Area
sections-4/sections-0/tables-1/caption,Red Book
sections-2/sections-2/tables-1/caption,Red Book
sections-2/sections-2/tables-1/rows-2-1,"7 types, <a class='default-link' href='https://trofei.by/articles/raznoe/%C2%ABradostovskij%C2%BB-respublikanskij-landshaftnyj-zakaznik'>полный список растений</a>"
sections-3/sections-0/tables-0/rows-1-1,"A unique river valley with an exceptional wealth of meadow, forest and wetland biotopes. Within the area there is more than 80 km of the river bed. The bed of the river, on average with a width of 200 to 300 m, was completely preserved in its natural state. The river forms large meanders, numerous large and small old people, the territory is heavily indented by old people. Within the area there are more than 100 floodplain lakes. The territory is difficult to access because of the numerous old men and old people. In the spring, a large area is flooded with flood waters. Within the territory are dominated by open meadow, cottage communities and marshes (about 70%)"
sections-3/sections-0/tables-1/caption,Red Book
sections-3/sections-2/tables-1/rows-1-0,Animals
sections-3/sections-3/tables-1/rows-0-0,Birds
sections-1/sections-0/tables-1/caption,Red Book
sections-2/sections-5/tables-0/rows-0-1,"one of the largest protected areas in the area, not only in Belarus, but also in Europe. The largest in Europe section of the river floodplain, preserved in its natural state. In spring, spills can reach up to 20 km. The value of the reserve is in the preservation of untouched floodplain black alder, oak forests and meadows. The floodplain of the Pripyat River in the middle reaches is a key European flyway for waterbirds. All these features undoubtedly make the reserve ""Middle Pripyat"" a territory important for birds (IBA). <a class='default-link' href='http://greenbelarus.info/articles/22-05-2015/top-10-samyh-interesnyh-prirodnyh-territoriy-belarusi'> Learn more </a> "
sections-2/sections-10/tables-0/rows-0-1,"1019,7 hectares"
sections-5/sections-2/tables-0/rows-1-0,Status
cover,/static/covers/protected-areas.jpg
sections-5/sections-11/tables-0/rows-2-1,"Northern pintail, Northern shoveler, Ruff, Great snipe, Black-tailed godwit, Black tern, White-winged tern"
sections-2/sections-0/tables-0/rows-0-0,Area
sections-2/sections-2/tables-0/caption,General info
sections-5/sections-6/tables-0/rows-0-0,Area
sections-5/sections-7/tables-0/rows-2-0,IBA - forming species
teaser,Overview of important natural areas through which the E40 waterway will pass
sections-2/sections-1/tables-0/caption,General info
sections-2/sections-4/tables-0/caption,General info
sections-3/sections-3/tables-0/rows-0-1,467  hectares
sections-3/sections-5/tables-0/rows-0-1,65  hectares
sections-5/sections-0/tables-0/rows-1-1,IBA international importance since 2010 
sections-5/sections-0/tables-0/rows-2-1,"Common crane, Black-tailed godwit , Aquatic warbler"
sections-2/sections-1/tables-0/rows-1-1,1999 
sections-2/sections-1/tables-0/rows-2-1,One of the few places in Belarus where the sterlet still lives - the only representative of sturgeon in our country
sections-2/sections-6/tables-0/rows-0-1,"The largest in Europe lowland bog mesotrophic type with numerous open mineral ""islands"". Bogs of this type were widely distributed in the Belorussian Polissya, but most of them were drained in the 60s. It is important as a habitat for a large population of spiny warbler - a globally endangered species, which is considered the most rare songbird of Europe. We and the Poles own the largest warbler population in Europe"
sections-2/sections-10/tables-1/rows-0-0,Plants
sections-5/sections-5/tables-0/rows-1-0,Status
title,Important natural areas of Belarus threatened by E40
sections-5/sections-4/title,Morochno
sections-5/sections-4/tables-0/rows-0-0,Area
sections-1/sections-0/tables-0/caption,General info
sections-2/sections-1/tables-1/rows-0-1,"European pond turtle, 1 species of amphibians (Natterjack toad), 10 species of birds (Little bittern, Eurasian bittern, Eurasian hobby, Red-footed falcon, Eurasian oystercatcher, Common greenshank, Little gull, Sterna, Common kingfisher)  and 4 species of mammals  (European badger, Lesser noctule, Garden dormouse, Hazel dormouse)
"
sections-2/sections-3/tables-0/rows-0-0,Specialty
sections-2/sections-5/title,"Republican landscape reserve ""Middle Pripyat"""
sections-3/sections-2/tables-0/rows-0-0,Specialty
sections-3/sections-4/tables-1/rows-0-1,144 species of birds
sections-3/sections-1/tables-1/rows-1-0,Animals
sections-2/sections-0/tables-1/rows-0-1,"Black stork, Eurasian eagle-owl , Eurasian bittern and Common kestrel "
sections-2/sections-2/tables-0/rows-0-0,Area
sections-2/sections-7/tables-0/rows-0-0,Specialty
sections-1/sections-0/tables-1/rows-2-1,"44 types, <a class='default-link' href='http://www.npp.by/about_national_park/flora_fauna/'>full list of plants of the Red Book of the Republic of Belarus</a>"
sections-5/sections-1/tables-0/rows-1-1,IBA international importance since 1998 . Ramsar territory since 2002
sections-5/sections-1/tables-0/rows-2-1,"greater spotted eagle, Spotted crake, Little crake, Eurasian curlew, Aquatic warbler"
sections-5/sections-5/tables-0/rows-2-0,IBA - forming species
sections-5/sections-11/tables-0/rows-0-0,Area
sections-5/sections-7/title,bottom land Lions
sections-5/sections-9/title,Pripyat National Park
sections-1/sections-0/tables-0/rows-0-1,188485 hectares
sections-1/sections-0/tables-1/rows-1-0,Animals
sections-3/title,Local wildlife sanctuaries
sections-3/sections-0/tables-0/caption,General info
sections-4/sections-0/tables-0/caption,General info
sections-4/sections-0/tables-1/rows-0-0,"Birds
"
sections-2/sections-9/tables-0/caption,General info
sections-2/sections-10/tables-1/caption,Red Book
sections-4/paragraphs-0/text,"The State Environmental Protection Scientific and Research Institution ""Polesie State Radiation Ecological Reserve"""
sections-4/sections-0/tables-0/rows-1-1,1988 
sections-4/sections-0/tables-0/rows-2-1,"the largest Belarusian reserve. Here are registered 1251 species of plants, this is more than two thirds of the country's flora. One of the few places where all the restoration processes are absolutely natural. The reserve operates within the 30-kilometer resettlement zone created after the Chernobyl nuclear power plant accident. The only place in Belarus where you can meet Przewalski horses"
sections-5/sections-9/tables-0/rows-0-1,82461hectares 
sections-3/sections-4/tables-0/rows-2-0,Specialty
sections-3/sections-5/tables-1/rows-0-0,Birds
