#id	value
sections-0/sections-0/title	
sections-1/title	Первый раз слышу про проект водного пути Е40, что это такое?
sections-1/paragraphs-1/text	Разработка проекта началась в конце 2013 года и продолжается по настоящий момент. Инициаторами строительства Е40 выступила коалиция организаций из трёх стран (Беларуси, Польши и Украины) во главе с РУЭСП «Днепро-Бугский водный путь». Технико-экономическое обоснование, или ТЭО (самый важный документ проекта, в котором прописано, что, где и зачем будут строить), разработал консорциум во главе с Морским институтом в Гданьске. Работы по проекту финансировались Европейским Союзом в рамках Программы трансграничного сотрудничества трёх стран. Сейчас же инициаторы проекта в поисках финансирования на дальнейшие исследования и работы.
sections-3/paragraphs-0/text	Если вкратце, то все говорят, что ТЭО не вызывает доверия. Например, плохо проработана экономическая часть этого документа. Оказалось, что в анализ выгод и затрат проекта <a href='/#/ru/articles/economic-mistakes'>не включены € 12 миллиардов инвестиционных расходов</a>, некорректно оценены экстернальные издержки, да и вообще, расчёты проведены только для двух польских участков маршрута. <a href='/#/ru/articles/negative-economics'>Другая группа экспертов отметила</a>, что плохо проанализированы риски, не прописаны расчёты по перехвату грузов у железной и автомобильной дороги, и в целом водный путь Е40 грозит стать очередным дотационным проектом.
sections-5/paragraphs-0/text	В первую очередь, мы хотим привлечь внимание правительств Польши, Беларуси, Украины и Европарламента к этому вопросу. Мы хотим продемонстрировать, что любые решения по проекту строительства водного пути Е40 должны приниматься при активном участии общественности и независимых экспертов. Мы обращаем внимание на то, что проект водного пути Е40 имеет сомнительную экономическую ценность, но однозначно несёт серьёзную угрозу природе. Мы напоминаем: <a href='/#/ru/articles/similar-stories'>мировая практика доказывает</a>, что в XXI веке корабли нужно изменять под реки, а не реки — под корабли.
teaser	
title	О кампании
sections-0/title	Что такое #Stop_E40?
sections-2/paragraphs-0/text	В том, что проекты такого масштаба имеют как положительные, так и отрицательные эффекты — про последние в документах разработчиков, понятное дело, информации крайне мало. Мы задались вопросом, какие последствия будет иметь такое кардинальное изменение рек для всего региона? Чтобы ответить на него, мы попросили независимых экспертов из разных областей оценить существующее ТЭО и высказать своё мнение о возможных результатах строительства водного пути Е40.
sections-4/title	А чем ценна Припять и Полесье?
sections-5/title	Так а чего вы добиваетесь?
sections-6/paragraphs-1/text	Вы можете лично рассказать об этой проблеме своим родным и близким. И, конечно, вы можете сделать лайк, шер, репост в социальных сетях — чем больше людей будет знать об этом вопросе, тем больше шансов, что судьбоносные решения будут приниматься не в кулуарах, а с нашим участием.
slug	about
sections-0/sections-0/paragraphs-0/text	«Стоп Е40» — это общественная кампания против строительства водного пути Е40, который может пройти по рекам Польши, Беларуси и Украины. Разработчики этого проекта предполагают, что Е40 станет новой торговой трассой между портами Балтийского и Чёрного морей, привлечёт инвестиции в регион и создаст новые рабочие места. Мы, <a href='/#/ru/articles/public-opinion'>экологическая коалиция</a>, считаем, что проект плохо продуман, экономически нецелесообразен, и что строительство Е40 станет катастрофой как для уникального региона белорусского Полесья, как и для ряда ценных природных территорий Польши и Украины.
sections-3/title	И что говорят независимые эксперты?
sections-6/paragraphs-0/text	Вы можете подписать <a href='/#/ru/pages/petition'>петицию</a>, которую мы направим правительствам Польши, Беларуси и Украины. Если вы представляете какое-либо юридическое лицо, вы можете присоединиться к <a href='/#/ru/pages/position'>заявлению для организаций</a>.
lead	
cover	
id	1
date	
sections-1/paragraphs-0/text	Это проект строительства судоходной трассы длиной более 2000 км, который хотят проложить по Висле, Припяти и Днепру для того, чтобы соединить Балтийское и Чёрное море. Инициаторы проекта говорят «восстановление», поскольку магистральный водный путь Е40 (по маршруту Гданьск-Варшава-Брест-Пинск-Мозырь-Киев-Херсон) <a href='http://docs.cntd.ru/document/901784389'>существует на бумаге с 1996 года</a>. Вот только от Варшавы до Бреста он не судоходен, поэтому планы по «восстановлению» Е40 предполагают строительство обводного канала в Польше, шести-семи плотин и шлюзов на Припяти, а также углубительные работы по всему маршруту для того, чтобы по нашим рекам могли ходить многотоннажные суда класса «река-море».
sections-2/title	Так а в чём проблема?
sections-3/paragraphs-1/text	Некоторые моменты в ТЭО вообще не учтены — например, тот факт, что водный путь Е40 и работы по его обустройству будут проходить на заражённых радиацией территориях, пострадавших после аварии на ЧАЭС. Особенно <a href='/#/ru/articles/xrays'>тяжёлые последствия это может иметь для Украины</a>. Водный путь Е40 пройдёт через более чем 70 ценных природных территорий Польши, Беларуси и Украины, которым будет нанесён непоправимый урон. Об угрозах для биоразнообразия всего региона в существующих документах нет практически ни слова, потому мы спросили нескольких экспертов о том, какие же <a href='/#/ru/articles/biodiversity'>последствия может иметь строительство Е40 для Припяти и Полесья.</a>
sections-4/paragraphs-0/text	Припять — одна из наименее испорченных человеком крупных рек в Европе, и вся жизнь Полесья неразрывно связана с ней. В пойме Припяти ежегодно 1,5 миллиона птиц набираются сил во время миграции, а всего на Полесье зарегистрировано более 90% от общего количества видов птиц Беларуси. Здесь находится много редких биотопов, например, уникальные пойменные дубравы и черноольховые леса, здесь живёт большое количество охраняемых видов животных и растений, многие из которых занесены в Красную Книгу Республики Беларусь. А ещё Полесье — это болота, которые поглощают в 20 раз больше СО2, чем леса, и которые могут сильно пострадать из-за изменения гидрологического режима в регионе. Надо сказать, что водный путь Е40 затронет <a href='/#/ru/articles/protected-areas'>одни из самых ценных природных территорий</a> Беларуси: национальный парк «Припятский», Полесский радиационно-экологический заповедник, 11 республиканских заказников и шесть местных. Из этих объектов 12 имеют международное значение.
sections-6/title	Убедили. Как я могу помочь?
