#id	value
title	Экологическая катастрофа? Как строительство Е40 повлияет на биоразнообразие Полесья — в ответах специалистов
sections-0/sections-3/paragraphs-1/text	В основном едут из Венгрии, Польши, Болгарии, Скандинавии, Англии, Германии, Франции. В этом году впервые приехал гость из Италии. Начали приезжать и иностранцы, воспользовавшись новыми правилами безвизового въезда на пять дней. Думаю, экологический туризм будет развиваться, к тому же в Беларусь приехать проще, чем в Россию или Украину. В Европе такое направление приносит миллионы прибыли, а Е40 просто перечеркнет эту возможность.
sections-1/sections-0/paragraphs-1/text	Превращение Днепро-Бугского канала (ДБК) в часть воднотранспортного пути Е40 и увеличение интенсивности судоходства между водотоками бассейнов Балтийского и Черного морей приведет к возрастанию темпов проникновения из одного морского бассейна в другой чужеродных гидробионтов — организмов, обитающих в воде. Это явление, которое необходимо не допускать и предотвращать. По заключениям международных экспертов, инвазии чужеродных видов в глобальном масштабе являются второй по значимости (после антропогенного загрязнения среды) причиной вымирания аборигенных видов и потери биоразнообразия в целом.
sections-3/sections-0/paragraphs-2/text	Строительство водного пути Е40 ставит под сомнение не только существование Национального парка «Припятский», но и других особо охраняемых природных территорий, расположенных вдоль реки Припять. Спрямление реки, её углубление, строительство любых гидротехнических сооружений приведёт к ещё большему нарушению гидрологического режима и, как следствие, необратимым процессам в природных комплексах.
sections-0/profile/caption	Директор Белорусского центра кольцевания птиц. Старший научный сотрудник Научно-практического центра Национальной академии наук Беларуси по биоресурсам
sections-0/sections-1/paragraphs-2/text	Есть и положительные моменты: у нас сейчас очень хороший контакт с Туровской администрацией, они консультируются с нами по поводу птиц. Например, 8 июля началась охота на бекаса, за день до того мы обследовали территории и обнаружили много птиц с птенцами. Потому мы попросили местную администрацию закрыть охоту до 10 августа, и они охотно пошли нам навстречу.
sections-0/sections-2/quote/text	«На территории Полесья зарегистрировано более 90% от общего количества видов птиц Беларуси»
sections-0/sections-4/paragraphs-0/text	Есть такое понятие как высокий паводок: в апреле и мае вода на Припяти поднимается высоко и держится на этом уровне продолжительное время. На небольших островах скапливается огромное количество птиц, и они становятся изолированными от «материка», наземных хищников, ворон. Около 10 лет назад был очень высокий успех размножения — 60-80%, в то время как в Европе хорошим показателем считалось 10%.
sections-1/title	Наталия Карлионова
sections-2/profile/name	Руслан Новицкий
sections-0/sections-3/title	Как обстоят дела с экологическим туризмом?
sections-1/sections-0/title	
sections-2/profile/caption	Заведующий сектором экологической оценки преобразований окружающей среды Научно-практического центр Национальной академии наук Беларуси по биоресурсам
