#id	value
sections-0/sections-4/paragraphs-0/text	Да, предполагается, что сокращение эмиссии диоксида углерода будет одной из выгод, создаваемых проектом для общества. В то же время, документ не содержит каких-либо количественных расчётов сокращений эмиссии диоксида углерода. Из других (в том числе собственных) разработок нам известно, что эмиссии CO2, связанные с внутренним водным транспортом, в целом сопоставимы с эмиссиями от железнодорожного транспорта (сравнительная таблица представлена в материале «Оценка документа „Restoration of Inland Waterway E40 Dnieper-Vistula: from Strategy to Planning. Final Feasibility Study Report“»
sections-0/sections-5/paragraphs-1/text	При этом я не ставлю крест на водном транспорте как таковом. В кругах польских НГО очень часто можно слышать такой лозунг: «Не нужно приспосабливать реку к судам, надо приспосабливать суда к реке». Если река позволяет транспортировать грузы без огромных вложений — почему бы и нет. Но в случае наших рек, которые в большинстве своем равнинные, мелководные и сильно меандрирующие, крупнотоннажные транзитные перевозки не имеют смысла. Локальные и туристические перевозки — возможно.
sections-0/title	Святослав Волосюк
sections-0/sections-0/paragraphs-0/text	По просьбе неправительственных организаций Беларуси и Польши мы с коллегой Миколаем Чайковским, профессором Варшавского университета, проанализировали документ, озаглавленный «Восстановление магистрального водного пути Е-40 на участке Днепр—Висла: от стратегии к планированию» и пришли к выводу, что он не может служить аргументом в пользу реализации проекта.
slug	economic-mistakes
sections-0/sections-6/quote/text	«В условиях континентальной Европы, где суровые зимы и ограниченный несколькими месяцами период навигации, такие проекты, скорее всего, системно неконкурентоспособны»
cover	/static/covers/frozen-river.jpg
sections-0/sections-0/title	Как вы проводили оценку ТЭО? Какие основные претензии к документу у вас возникли?
sections-0/sections-2/quote/text	«Если в анализе учесть затраты по всему маршруту Е40, а также включить в него инвестиционные расходы и экстернальные издержки, то говорить о рентабельности проекта не получится»
sections-0/sections-5/paragraphs-0/text	Варшавский центр Экологической Экономики (подразделение Варшавского университета, с которым я сотрудничаю) делал анализ для аналогичного проекта на Одре. Коллеги пришли к выводу, что проекты по развитию водного транспорта целесообразны только в очень специфических случаях. Очень большое значение для водного транспорта имеет то, как соотносятся между собой инвестиционные (однократные долгосрочные вложения) и операционные (направленные на поддержание текущей работы) затраты. Если ежегодные операционные затраты составляют более чем 1% от инвестиционных, то проект, как правило, становится невыгодным. В случае с проектом по Одре, эта пропорция составляла 3-5%. В условиях континентальной Европы, где суровые зимы и ограниченный несколькими месяцами период навигации, такие проекты, скорее всего, системно неконкурентоспособны.
sections-0/sections-0/paragraphs-1/text	Основная претензия к этому отчёту заключается в методологических ошибках, допущенных при его разработке. Документ был заявлен как анализ выгод и затрат по проекту восстановления водного пути Е40 — такого рода оценка должна соответствовать неоклассической теории экономики общественного благосостояния. Однако в отчёте не были учтены огромные инвестиционные затраты — порядка 12 миллиардов евро. С нашей точки зрения, это обстоятельство фактически дисквалифицирует этот отчет.
sections-0/sections-4/quote/text	«Эмиссии углекислого газа, связанные с внутренним водным транспортом, в целом сопоставимы с эмиссиями от железнодорожного транспорта»
teaser	
sections-0/profile/caption	Научный сотрудник Варшавского университета, экономист
sections-0/sections-2/paragraphs-1/text	Примечательно, что в случае Среднего Буга разработчики документа посчитали, что наличие там охраняемых природных территорий — это основание для того, чтобы не трансформировать русло и прибрежные экосистемы, а строить обводной канал. Однако, в нижнем течении Вислы проблема абсолютно аналогичная, не говоря уже о пяти десятках ООПТ на территории Беларуси и Украины, которые в документе учтены не были и вовсе.
sections-0/sections-4/title	Один из главных аргументов разработчиков проекта Е40 — сокращение эмиссий углекислого газа в атмосферу при транспортировке грузов по воде. Что сказано об этом в ТЭО?
sections-0/sections-6/paragraphs-1/text	Разработчики же проекта Е40, на мой взгляд, поменяли цель и средство местами. В документе «Восстановление магистрального водного пути Е-40 на участке Днепр-Висла: от стратегии к планированию» есть одна цитата, которая, с моей точки зрения, хорошо передаёт философию разработчиков. Она звучит так: «...Waterways presented in the report are analysed in the model from optimistic viewpoint because they may seem to be the main ways geographically, while in practice shipping may be difficult or simply impossible (as in the case of E40). However, after serious recent investments in road, rail and air infrastructure, it is time to draw attention to the waterways...» <em>[«Водные пути, представленные в данном отчёте, были проанализированы в модели с оптимистической точки зрения, поскольку географически они могут казаться магистральными путями, в то время как на практике транспортировка может быть затруднена или попросту невозможна (как в случае Е40). Тем не менее, после серьёзных недавних инвестиций в автомобильную, железнодорожную и авиационною инфраструктуры, время обратить внимание на водный транспорт...» — прим. ред.]</em>. Судя по этой фразе, мне кажется, что для разработчиков этого документа вопросы социальной, экономической, экологической эффективности проекта строительства Е40 сугубо вторичны.
sections-0/sections-2/title	Вы сказали, что документ был проработан только для двух участков пути Е40. Каких именно?
sections-0/sections-3/title	В ТЭО указано, что запланированный грузопоток по Е40 — 6 миллионов тонн ежегодно. Понятно ли из документа, откуда взялись эти цифры?
sections-0/sections-3/paragraphs-1/text	Проверкой качества расчётов является то, как та или иная экономическая модель ведёт себя при изменении исходных параметров. Это называется «анализом чувствительности модели», и в данном случае такая работа проведена также не была.
sections-0/sections-5/title	Насколько водный транспорт конкурентоспособен?
date	2017-07-31
sections-0/profile/name	Святослав Волосюк
sections-0/sections-1/paragraphs-0/text	Когда речь идет о столь масштабных проектах, как Е40, для того, чтобы понять, несет ли он благо для общества, нужно максимально полно оценить все выгоды и все затраты, которые возникают в результате его реализации. В том числе должны учитываться экстернальные издержки, то есть те издержки, которые возникают при реализации проекта у третьих лиц помимо их воли. В существующем документе они, по большому счёту, не учтены. Причем разработчики утверждают, что эти затраты не поддаются оценке — но это не так, в современной теории и практике экономики есть способы их оценить. Если выгоды превосходят затраты, то можно говорить о том, что проект полезен для общества и повышает его благосостояние. Это может быть основанием для того, чтобы объект был профинансирован из публичных источников.
sections-0/sections-1/title	Не моли бы вы пояснить, что такое «общественное благосостояние»?
sections-0/sections-6/title	Реки Дунай и Рейн судоходны и занимают важное место в системе европейских грузоперевозок. Могут ли они служить примером эффективного использования водного транспорта?
title	Экономист о том, почему методологические ошибки разработчиков проекта Е40 дисквалифицируют их работу
id	2
sections-0/profile/portrait	/static/experts/volosuk@2x.jpg
sections-0/sections-1/paragraphs-2/text	Я предполагаю, что если в анализе учесть затраты по всему маршруту Е40 (на данный момент они посчитаны только для двух участков пути), а также включить в него неучтённые многомиллиардные инвестиционные расходы и корректно оценённые экстернальные издержки, то говорить о рентабельности проекта не получится.
sections-0/sections-2/paragraphs-0/text	Оба этих элемента находятся на территории Польши. Первый — это обводной канал, который соединял бы Вислу и Мухавец: разработчики посчитали, что использовать для Е40 Средний Буг нецелесообразно, так как там находятся охраняемые территории сети Natura 2000. Второй — долина и русло Нижней Вислы. Она представляет собой довольно мелководную реку, которая сохранилась в состоянии, близком к естественному, и соответствует <a href='https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F_%D0%B5%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D1%85_%D0%B2%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D1%85_%D0%B2%D0%BE%D0%B4%D0%BD%D1%8B%D1%85_%D0%BF%D1%83%D1%82%D0%B5%D0%B9'>второму классу судоходности</a> в то время как для судов река-море необходим минимум четвёртый класс. Все остальные элементы пути Е40 на территории Беларуси и Украины в анализ выгод и затрат не вошли. В документе указаны приблизительные суммы необходимых инвестиций, но они ничем не обоснованы.
sections-0/sections-6/paragraphs-0/text	Это совсем другие реки. Рейн был сильно преобразован еще 150 лет назад, когда не было другой логистической альтернативы. Сейчас же есть развитая железнодорожная сеть, есть сеть автомобильных шоссе и авиационных маршрутов, тот же трубопровод, который занимает важное место в транспортной системе Беларуси. А Дунай — глубоководная река, которая течёт в серьёзном тектоническом разломе, это тоже неподходящий пример. Надо понимать, что транспорт — это средство, а не самоцель. Если у нас появилась необходимость перевезти грузы или пассажиров из пункта А в пункт Б, это можно сделать разными путями. Для этого необязательно вкладывать миллиарды в уничтожение малонарушенной природы.
lead	«В отчёте не были учтены огромные инвестиционные затраты — порядка 12 миллиардов евро». Экономист Святослав Волосюк вместе с коллегой Михаилом Чайковским провели анализ технико-экономического обоснования проекта восстановления водного пути Е40 и обнаружили ряд серьёзных упущений, которые не позволяют считать ТЭО аргументом в пользу реализации проекта.
