#id	value
sections-1/items-0/teaser	У асяроддзі эколагаў не сціхаюць спрэчкі адносна аднаўлення шляху Е40, які звязваў Балтыйскае мора з Чорным. Астраном Віктар Малышчыц упэўнены: калі на ўсёй Прыпяці будзе пабудаваны каскад плацін, гэта прывядзе да незваротных змен у прыродзе.
sections-0/items-0/publicationTitle	Водный путь Е40: и корабли не поплывут, и Полесья не станет?
sections-0/items-1/author	
sections-0/items-1/title	ОО Багна
sections-0/items-1/link	http://bahna.land/2017/07/20/e40-korabli-nie-poplyvut/
sections-0/items-1/cover	
sections-0/items-3/link	http://homel.greenbelarus.info/articles/20-07-2017/unichtozhit-prirodu-polesya-za-150-mln-evro-ekologicheskie-organizacii-vystupili
sections-0/items-3/cover	http://homel.greenbelarus.info/sites/all/themes/green/img/logo.png
sections-1/items-0/cover	https://img.tyt.by/i/by5/news/logo@2x.png
sections-2/items-0/title	
sections-2/items-0/publicationTitle	
sections-0/items-0/cover	
sections-0/items-0/author	
sections-0/items-2/cover	https://wildlife.by/bitrix/templates/IBWM/img/logo.png
sections-0/items-3/teaser	Пресс-конференция беларусских экологических организаций, приуроченная к старту общественной кампании «Стоп Е-40! Сохраним реки Беларуси в естественном состоянии», вылилась в пылкую дискуссию со сторонниками и экспертами проекта. Обе стороны констатировали, что для полной аргументации не хватает Оценки воздействия на окружающую среду, которую, как надеются НГО, проведут до начала реализации работ.
sections-2/items-0/cover	
sections-2/items-0/date	
sections-0/title	Экологические НГО
sections-0/items-0/teaser	"19 июля 2017 года в Минске официально стартовала общественная кампания""Стоп Е40! Сохраним реки Беларуси в естественном состоянии"". По этому поводу прошла пресс-конференция, где спикеры отразили основныеэкологические и экономические последствия строительства нового водного пути, который пройдет по 500 км нашего Полесья."
sections-0/items-1/date	2017-07-20
sections-0/items-2/publicationTitle	Официально стартовала общественная кампания «Стоп Е-40!»
sections-0/items-0/title	ОО АПБ
sections-0/items-1/teaser	19 июля 2017 года в Минске официально стартовала общественная кампания «Стоп Е40! Сохраним реки Беларуси в естественном состоянии». По этому поводу прошла пресс-конференция, где спикеры отразили основные экологические и экономические последствия строительства нового водного пути, который пройдет по 500 км нашего Полесья.
sections-0/items-2/author	Андрей Бородин
sections-1/items-0/publicationTitle	Паводка, туман і зорнае неба. Прыгажосць беларускага Палесся у фотаздымках
sections-1/title	СМИ
sections-2/items-0/link	
sections-2/items-0/teaser	
sections-0/items-0/link	http://www.ptushki.org/info/press/item/20196.html
sections-0/items-2/title	Дикая природа
sections-2/title	Перепечатки
title	Публикации об общественной кампании <br>на других сайтах и в СМИ
sections-0/items-0/date	2017-07-20
sections-0/items-1/publicationTitle	Водный путь Е40: и корабли не поплывут, и Полесья не станет?
sections-0/items-2/link	https://wildlife.by/ecology/news/ofitsialno-startovala-obshchestvennaya-kampaniya-stop-e40-/
sections-0/items-2/date	2017-07-21
sections-0/items-3/author	Елена Храмцова
sections-2/items-0/author	
sections-1/items-0/link	https://news.tut.by/culture/552826.html
sections-0/items-2/teaser	19 июля состоялась пресс-конференция, посвященная официальному старту общественной кампании «Стоп E-40! Сохраним реки Беларуси в естественном состоянии». За этой аббревиатурой скрывается не вредная пищевая добавка, как можно подумать, а проект, предполагающий строительство водного пути, который должен связать Балтийское море с Черным.
sections-0/items-3/title	ТА Зеленая сеть
sections-0/items-3/publicationTitle	Уничтожить природу Полесья за 150 млн евро: экологические организации выступили против строительства Е-40
sections-0/items-3/date	2017-07-20
sections-1/items-0/date	2017-07-25
sections-1/items-0/author	Віктар Малышчыц
sections-1/items-0/title	TUT.BY
