#id	value
sections-0/sections-5/paragraphs-2/text	Из очень узкого перечня товаров, которые гипотетически могут транспортироваться по Е40, в фаворитах, по мнению аналитиков БСПН, две позиции — нефтепродукты и калийные удобрения. Оба этих товара, особенно нефтепродукты, следовало бы отнести к категории опасных грузов. Организация их массовой доставки по нашим рекам создаёт вероятность возникновения серьёзных техногенных катастроф. Об этом риске авторы ТЭО тоже почему-то предпочли умолчать.
lead	«Влияние проекта на экономику Беларуси может быть негативным». Экономист Алесь Герасименко и его коллеги из Бизнес союза предпринимателей и нанимателей имени профессора М. С. Кунявского (БСПН) провели свою оценку технико-экономического обоснования проекта восстановления водного пути Е40 и пришли к выводу, что разработчики настроены чересчур оптимистично.
sections-0/profile/caption	Пресс-секретарь Бизнес союза предпринимателей и нанимателей имени профессора М. С. Кунявского (БСПН); заместитель главного редактора еженедельника «Белорусы и Рынок»
sections-0/sections-0/paragraphs-2/text	Настоящие риски не в вероятной стагнации экономик региона, а в том, что после многомиллиардных вложений водный путь Е40 может оказаться невостребованным со стороны грузоотправителей по ряду причин. Соответственно, инвестиции не принесут должной экономической отдачи, в том числе расходы на инфраструктуру для белорусского участка, которые, по предварительным оценкам, могут составить около 150 миллионов евро, с большой долей вероятности не окупятся. Разработчики ТЭО предлагают рассматривать проект как инфраструктурный: то есть делать ставку не на окупаемость капитальных затрат, а рассчитывать на мультиплицирующий эффект для экономики в целом. Однако, по оценкам БСПН, такой эффект, скорее всего, будет отрицательным.
sections-0/sections-2/paragraphs-0/text	В секторе транспорта и логистики отдачу приносят те инфраструктурные проекты, которые создают транспортное сообщение там, где его раньше не было, ускоряют или удешевляют доставку. Модернизация водного пути Е40 не несёт очевидных преимуществ. Внутренний водный транспорт по ключевым параметрам конкурентоспособности уступает автомобильному и железнодорожному, в том числе в скорости доставки, возможности оперировать малыми объёмами грузов, использовании гибких схем логистики. У водного транспорта есть сезонные ограничения, например, во время зимнего ледостава либо весеннего половодья.
sections-0/sections-3/title	Насколько значительно могут вырасти расходы государственной казны в случае реализации проекта?
sections-0/sections-3/paragraphs-2/text	По мнению аналитиков БСПН, при такой глубине субсидирования передел грузопотоков в пользу Е40 может повлечь лишь один «мультиплицирующий эффект» для страны — значительный рост ежегодных бюджетных расходов.
sections-0/sections-4/paragraphs-2/text	К слову, вызывает вопрос, почему расчеты по перехвату грузов у железной дороги и автомобильного транспорта не нашли отражения в итоговом ТЭО. Не потому ли, что авторы документа постарались обойти стороной этот факт, как и некоторые другие острые углы проекта?
sections-0/sections-5/paragraphs-0/text	Проект представляется достаточно авантюрным. С одной стороны, сомнительна его экономическая целесообразность. Логистика доставки грузов в регионе уже устоялась и, повторюсь, ничего принципиально нового водный путь Е40 не сулит. К слову, уже сегодня весь белорусский участок Е40 судоходен, по нему могут перемещаться баржи грузоподъёмностью до 1 тысячи тонн. Это эквивалент железнодорожного состава. Теоретически, от Бреста до Херсона можно перевозить самые разнообразные грузы: насыпные, крупногабаритные и даже контейнерные. Вот только компании не спешат воспользоваться этим каналом доставки.
slug	negative-economics
sections-0/sections-0/paragraphs-0/text	При оценке проекта по обустройству водного пути Е40 эксперты БСПН им. Кунявского анализировали данные и расчёты технико-экономического обоснования (ТЭО), подготовленного Морским институтом в Гданьске, открытую статистику, а также отраслевую специфику в секторе транспорта и логистики.
sections-0/sections-2/paragraphs-2/text	По оценкам БСПН, даже в случае модернизации водный путь Е40 не будет интересен большинству компаний-грузоотправителей. Соответственно, возникает риск, что для привлечение грузов на этот водный путь правительство будет вынуждено серьёзно субсидировать тарифы на доставку, либо задействовать административный ресурс в ущерб интересам некоторых грузоотправителей.
sections-0/sections-3/quote/text	«Возникает риск, что для привлечение грузов на водный путь правительство будет вынуждено субсидировать тарифы на доставку либо задействовать административный ресурс»
sections-0/sections-3/paragraphs-0/text	Рассчитать точные цифры пока невозможно в силу нехватки данных. Однако следует обратить внимание на текущий объём государственной поддержки водного транспорта в Беларуси. В 2015 году удельные бюджетные субсидии там составили 2,5 миллиарда неденоминированных рублей в расчете на 1 миллион тонно-километров грузооборота. Это почти в полторы тысячи раз больше, чем на автомобильном или железнодорожном транспорте, где субсидии составили, соответственно, 1,8 миллионов рублей и 1,7 миллионов рублей на 1 миллион тонно-километров грузооборота.
sections-0/sections-4/title	Разработчики проекта прогнозируют рост грузопотока по белорусскому участку Е40 с нынешних примерно 1 миллиона тонн в год до 6 миллионов тонн и более. Насколько вам это кажется реальным?
sections-0/sections-4/paragraphs-0/text	Грузы в регионе есть: в 2016 году всеми видами транспорта в Беларуси было перевезено 430,4 миллионов тонн. Но наличие физических объёмов ещё не означает, что грузоотправители выберут водный путь Е40 в качестве канала доставки. И это главная интрига.
teaser	
sections-0/profile/portrait	/static/experts/gerasimenko@2x.jpg
sections-0/profile/name	Алесь Герасименко
sections-0/sections-0/paragraphs-1/text	На наш взгляд, слабое место ТЭО — поверхностный анализ рисков. Они анализируются в духе, мол, если экономики трёх стран (Польши, Беларуси и Украины) будут расти не теми темпами, что мы предполагаем, то эффект от реализации проекта может быть хуже ожидаемого. Я бы назвал данный раздел набором клишированных фраз, что весьма удивляет, ведь проект очень дорогой — согласно оценкам разработчиков, для его реализации в трёх странах необходимо более чем 12 миллиардов евро!
sections-0/sections-3/paragraphs-1/text	Да, увеличение грузопотока может несколько снизить государственные вложения на единицу перевозимого груза, однако внутренние водные перевозки все равно останутся значительно более дорогим удовольствием для государственной казны в сравнении с автомобильной и железнодорожной доставкой. Поэтому в абсолютном выражении траты бюджета, скорее всего, вырастут.
sections-0/sections-4/paragraphs-1/text	Любое наполнение грузами водного пути Е40 будет означать их перехват с железнодорожного и автомобильного транспорта. По расчётам, представленным в промежуточном отчете по подготовке ТЭО, указывалось, что на водный путь планируется перебросить до 20% нынешнего грузопотока с железнодорожного и до 10 % — с автомобильного транспорта. По оценкам БСПН, в случае реализации сценария по «перехвату» грузов выручка Белорусской железной дороги может сократиться примерно на 250 миллионов долларов, а компаний автомобильного транспорта — на 80 миллионов долларов в годовом исчислении. При этом сектора железнодорожных и автомобильных перевозок критически важны для белорусской экономики: там созданы сотни тысяч рабочих мест, отрасли работают прибыльно, по рыночным законам, с минимальной поддержкой в виде бюджетных субсидий. Даже незначительное в процентном соотношении сокращение рабочих мест в этих секторах, спровоцированное падением выручки компаний, может нивелировать любой рост рабочих мест на водном транспорте.
sections-0/sections-5/paragraphs-1/text	С другой стороны, реализация проекта сопряжена с негативными последствиями для экологии. В XXI веке реки ценны, прежде всего как природные объекты, играющие важную роль в гидрологии регионов, являющиеся местом сосредоточения биоразнообразия. Нам же предлагают мыслить категориями XIX века, когда многие европейские реки начали превращаться в каналы. Сторонники Е40 на разного рода конференциях так и презентуют проект — «канал Висла — Днепр». В то время как развитые страны, осознав ценность рек в их естественном состоянии, начинают разрушать плотины и прочие элементы речной инфраструктуры, нам предлагают «одеть» наши реки в бетон.
title	Станет ли водный путь Е40 очередным дотационным проектом? Комментарий экономиста
sections-0/sections-1/paragraphs-1/text	Апологеты водного пути Е40 также предлагают оценивать их проект не с точки зрения прямой окупаемости, а по косвенному воздействию на экономики трех стран. Однако, по оценкам аналитиков БСПН, нет никакой гарантии, что модернизация водного пути между Вислой и Днепром принесет какие-то долгосрочные экономические дивиденды региону. Более того, влияние проекта на экономику Беларуси может быть негативным.
sections-0/sections-3/paragraphs-3/text	До сих пор ежегодно бюджет тратил на поддержку водного транспорта порядка 3-4 миллионов долларов в год. Полагаем, в случае реализации проекта по модернизации водного пути Е40 эти расходы как минимум удвоятся.
sections-0/sections-5/quote/text	«Организация массовой доставки калийных удобрений и нефтепродуктов по нашим рекам создаёт вероятность возникновения серьёзных техногенных катастроф»
sections-0/sections-5/paragraphs-3/text	Мне кажется, что идея создания нового водного пути в первую очередь основана на желании некоторых компаний получить многомиллионный подряд и загрузить себя работой на долгие годы. Такие планы также интересны чиновникам из Управления морского и речного транспорта Минтранса, желающим отчитаться о привлечении инвестиций и хоть как-то оживить водные грузоперевозки. Но давайте мыслить стратегически — проект по обустройству водного пути Е40 сопряжен со слишком высокими рисками, чтобы его можно было отнести к категории тех, что соответствуют стандартам устойчивого развития. На наш взгляд, лучше сосредоточиться на иных проектах в транспортно-логистическом секторе, а наши реки оставить в покое.
sections-0/sections-1/title	Не могли бы вы пояснить понятие «мультиплицирующий эффект»?
sections-0/sections-1/paragraphs-0/text	Принято считать, что инфраструктурные проекты не обязательно должны окупать затраты на свою реализацию, но обязательно должны содействовать общему экономическому росту региона. Например, мы построили автодорогу за 100 миллионов долларов и сделали её платной для проезда, ежегодные сборы за движение автомобилей по этой дороге составляют 1 миллион долларов. Даже без учета расходов на техническое обслуживание и ремонт трассы, вернуть первоначальные вложения можно лишь через сто лет, что никак не вписывается в здравые горизонты окупаемости инвестиций. Но при этом дорога обеспечила удобное транспортное сообщение, ускорила и удешевила доставку грузов из определенных регионов. Это, в свою очередь, способствовало появлению там новых производств и росту валового регионального продукта (ВРП). Условно, за 5 лет ВРП вырос на 200 миллионов долларов. Таким образом, мы получили опосредованный мультиплицирующий эффект, который выразился в ускорении экономического роста региона, при этом прирост экономики существенно превысил затраты на обустройство инфраструктуры.
date	2017-07-31
sections-0/title	Алесь Герасименко
sections-0/sections-1/quote/text	«Слабое место ТЭО — поверхностный анализ рисков»
sections-0/sections-2/title	Почему негативным?
cover	/static/covers/cargo.jpg
sections-0/sections-0/title	Как вы проводили оценку ТЭО? Какой главный недочёт вы могли бы выделить?
sections-0/sections-5/title	Резюмируя все сказанное, как вы оцениваете планы по строительству водного пути Е40?
id	3
