#id	value
sections-0/paragraphs-13/text	В области экологии:
sections-0/paragraphs-20/text	Водный путь Е40 проходит через ряд ценных природных сообществ, находящихся в последние годы по разным причинам в критическом состоянии в русловой зоне Западного Буга, Мухавца, Припяти. К ним, прежде всего, относятся уникальные, редкие для Беларуси и Европы: ленточные леса; суходольные луговые сообщества 2130, 6120, 6210, 6230 «Habitats Directive» (92/43/EEC); сыролуговые сообщества 6410, 6450 «Habitats Directive» (92/43/EEC).
sections-0/paragraphs-34/text	По совокупности факторов вложения в обустройство внутренних водных путей рискуют оказаться неэффективной тратой бюджетных средств и денег частных инвесторов и при этом гарантированно принести вред окружающей среде.
lead	
sections-0/paragraphs-2/text	Проект был призван определить оптимальный вариант восстановления водного пути Е40, который соединяет Балтийское море с Черным морем. Водный путь Е40 начинается в Гданьске, затем на польском участке проходит по рекам Висла и Западный Буг до Тересполя и дальше до польско-белорусской границы. В Беларуси этот путь проходит по реке Мухавец, Днепро-Бугскому каналу, рекам Пина и Припять до белорусско-украинской границы. В Украине водный путь Е40 образуют реки Припять и Днепр, который ведет до Херсона и Черного моря. Протяженность водного пути — более 2000 км.
sections-0/paragraphs-16/text	Эти земли предназначены для сохранения (устойчивого развития) совокупности естественных и техногенных экосистем в соответствии с международным экологическим правом и национальными природоохранными законодательствами. Наибольшее количество и площадь охраняемых сообществ и объектов высокого международного статуса охраны сконцентрировано в пойменно-русловой зоне. К категории охраняемых сообществ 3210 «Habitats Directive» (92/43/EEC) относятся Сообщества русел рек (в естественном состоянии) (Fennoscandian natural rivers). 
sections-0/paragraphs-23/text	Изменение русла Припяти и других рек, через которые пройдет водный путь Е40 приведёт к уничтожению значительной части рыбных нерестилищ, уровень загрязнение воды будет расти, что ещё больше подорвёт рыбные запасы.
sections-0/paragraphs-30/text	Е40 не создает однозначных и неоспоримых преимуществ даже для доставки той ограниченной номенклатуры товаров, которые по своим технико-экономическим характеристикам подходят для перевозки внутренними водными путями. Так, ключевыми рынками сбыта белорусских калийных удобрений являются географически удаленные регионы — Китай, Индия, Южная Америка, Юго-Восточная Азия, Австралия.
sections-0/paragraphs-35/text	С учетом сомнительных экономических перспектив и колоссальных экологических рисков призываем отказаться от планов по обустройству внутреннего водного пути Е40. Взамен предлагаем сосредоточиться на реализации иных проектов в сфере транспорта и логистики, направленных на развитие трансграничной торговли в Восточно-Европейском регионе. Такими проектами, на наш взгляд, должны стать:
id	4
sections-0/paragraphs-13/style	h2
sections-0/paragraphs-28/style	h2
sections-0/paragraphs-29/text	Внутренний водный транспорт по ключевым параметрам конкурентоспособности уступает автомобильному и железнодорожному транспорту, в том числе в скорости доставки, возможности оперировать малыми объемами грузов, использовании гибких схем логистики, наличии сезонных ограничений. Кроме того, при движении по внутренним водным путям, как правило, в цепочке поставки появляются дополнительные звенья по перегрузке товаров, замедляющие грузоперевозку и отягощающие себестоимость доставки.
slug	position
