#id	value
sections-3/sections-4/tables-1/caption	Красная книга
sections-5/sections-7/tables-0/rows-1-1	ТВП международного значения
sections-5/sections-7/tables-0/rows-2-1	Лунь полевой, Подорлик большой
sections-2/sections-2/tables-0/rows-0-1	6685,17 га
sections-2/sections-7/tables-0/rows-0-1	самый крупный в Европе цельный лесоболотный комплекс. Крупнейший в Европе комплекс верховых, переходных и низинных болот, сохранившийся до наших дней в естественном состоянии. Ольманские болота обеспечивают существование значительной части (10-20 %) белорусской популяции бородатой неясыти, гнездится здесь и обыкновенный глухарь (Tetrao urogallus), численность которого в Полесье крайне мала. здесь обитает крупнейшая в Беларуси гнездовая группировка большого подорлика (Большой подорлик (Aquila clanga Pallas, 1811) классифицируется как уязвимый (Vulnerable) вид птиц на мировом уровне и признан глобально угрожаемым в Европе.) — 18-20 пар, а также 100-150 пар вертлявой камышевки
sections-3/sections-0/title	Водно-болотный заказник местного значения «Алес»
sections-3/sections-0/tables-0/rows-1-0	Особенность
sections-3/sections-4/tables-0/caption	Общие сведения
sections-5/sections-0/tables-0/rows-2-0	ТВП-образующие виды
sections-2/sections-6/tables-0/rows-0-0	Особенность
sections-2/sections-7/title	Республиканский заказник «Ольманские болота»
sections-2/sections-9/title	Республиканский ландшафтный заказник и биосферный резерват «Полесская долина реки Буг»
sections-3/sections-3/title	Биологический заказник «Непокойчицы»
sections-5/sections-10/tables-0/rows-2-0	ТВП-образующие виды
sections-2/sections-3/tables-0/rows-0-1	одно их немногих мест в Беларуси, где можно увидеть цветение рододендрона желтого. Место обитания гигантской вечерницы — редкого вида летучих мышей. Вместе с заказником «Ольманские болота» и национальным парком «Припятский» образуют своеобразный коридор, являясь частью экологической сети Полесья
sections-2/sections-10/tables-0/rows-0-0	Площадь
sections-3/sections-2/tables-0/rows-0-1	здесь проходят пути миграции кабана, лося, косули с севера на юг и в обратном направлении (экологический коридор)
sections-5/sections-4/tables-0/rows-0-1	12513 га
