#id	value
slug	similar-stories
title	Нет каналам и плотинам: похожие на Е40 истории из мировой практики
cover	/static/covers/elbe-water-bridge.jpg
date	2017-09-24
sections-0/paragraphs-2/text	<a href='http://olomouc.hnutiduha.cz/aktuality/koridor-dunaj-odra-labe/'>Чешские экологи подсчитали потери</a>, которую понесут природные экосистемы в случае реализации проекта — 717 миллионов долларов только на биотопах. Из-за снижения биоразнообразия снизились бы и жизнеобеспечивающие функции экосистем — и тогда потери составят минимум один миллиард долларов. Среди других аргументов против проекта — тот факт, что для организации перевозок глубина водного пути должна быть как минимум 2,5 метра, а сейчас Одра в среднем имеет глубину 1,6 метра. Искусственное углубление русла окажет негативное влияние на грунтовые воды, уровень которых, по мнению экологов, будет снижаться и тем усугубит проблему засухи. Выпрямление русла уничтожит меандры и естественные биотопы, а новые биокоридоры будут служить перемещению инвазивных видов, чужеродных для местных экосистем. Против постройки водного пути выступают в том числе <a href='http://www.cenia.cz/__C1257266004E7F6B.nsf//MZPMSFPJY33L'>Агентство по охране окружающей среды при Министерстве окружающей среды Чехии</a>, различные НГО и другие эксперты.
sections-1/paragraphs-0/text	Заказчик: правительства Германии и Чешской республики. <br/>Дата разработки проекта: 2007 г.
sections-1/paragraphs-1/text	В 2000-х годах правительства Германии и Чешской республики решили сделать Эльбу судоходной. На проект собирались потратить 220 миллионов евро, при этом только 15 километров реки могут быть задействованы в судоходстве на протяжении целого года, да и её глубина реки колеблется, что затрудняет регулярную перевозку грузов.
sections-0/paragraphs-0/text	Инициаторы: Министерство регионального развития Чехии; президент Чехии Милош Земан. <br/>Дата разработки проекта: 2007 г.
sections-0/paragraphs-1/text	Идея канала, который бы соединил бассейны Дуная и Эльбы и, следовательно, Северное и Чёрное море, витала в воздухе с XIV века. В 2007 году чешская компания Atelier T-plan по заказу Министерства регионального развития провела анализ проекта, однако никаких конкретных действий вслед за этим не последовало. Одна из причин — стоимость проекта, он оценивается в суммы порядка 14-17 миллиардов долларов. Главный поборник проекта в наше время — чешский президент Милош Земан, который ищет средства на проект в том числе и у китайских инвесторов.
sections-3/paragraphs-0/text	Одна из главных опасностей, сопровождающих строительство крупных плотин, — их возможное разрушение вследствие природных катаклизмов. Так, в феврале 2017 года в Калифорнии шли сильные дожди, что <a href='http://www.bbc.com/russian/features-39022325'>привело к поднятию уровня воды</a> в Оровилльском водохранилище на недопустимую высоту. Её стали сбрасывать через основной водосброс, но вскоре он частично сломался. Был активирован аварийный водосброс. Он никогда ранее не использовался, поэтому его эрозия оказалась больше ожидаемой. В результате пришлось эвакуировать почти 200 тысяч человек. Работы по предотвращению окончательного разрушения аварийной плотины обойдутся в 100-200 миллионов долларов.
sections-3/paragraphs-1/text	Интересно то, что власти знали о неважном состоянии Оровилльской плотины еще в 2005 году — уже тогда «зелёные» просили проверить и укрепить сооружение, но их обращения остались без ответа со стороны американских чиновников. Она была построена в 1968 году и уже перестала отвечать требованиям безопасности — это и привело к наводнению во время чрезмерно повышенных осадков. Оровилльская плотина является самой высокой в США — 235 метров.
sections-1/title	Река Эльба, Германия
sections-2/paragraphs-0/text	В Испании было построено больше всего плотин в Европе — 1200. Плотины в Алкала дель Рио и Кантильяна (недалеко от Севильи) стали причиной исчезновения популяций осётра в реке Гвадалквивир, а плотина в Паломбера привела к уничтожению популяции лосося. Со временем <a href='http://solex-un.ru/dams/otchet-vkp/russkii-perevod/glava-1/stroitelstvo-krupnykh-plotin/'>минусы плотин становились всё более очевидны</a>, и экологические активисты запустили ряд кампаний по восстановлению рек и стали требовать от властей сноса гидросооружений, причиняющих наибольший ущерб.
