#id	value
events-8/paragraphs-0/text	<strong>Результат</strong>: определены основные направления деятельности рабочей группы — <abbr title='оценка воздействия на окружающую среду'>ОВОС</abbr> и создание судоходных условий на приграничном участке Е40 в районе белорусско-польской границы.
events-10/title	<mark>старт общественной кампании «Стоп Е40!»</mark>, инициированной ОО «Ахова птушак Бацькаўшчыны», «Багна», «Экодом», «Центр экологических решений» и товариществом «Зеленая сеть»
events-0/paragraphs-3/text	<strong>Бюджет</strong>: € 912 657 (из них € 821 281 финансирование ЕС)
events-1/place	Люблин, Польша
events-2/place	
events-5/place	Брест, Беларусь
events-5/paragraphs-0/text	<strong>Результат</strong>: определен приоритетный вариант возобновления судоходства на всем протяжении Е40. Согласно ему, на территории Польши должен быть построен искусственный канал длиной около 160 километров, а также проведена модернизация и строительство гидротехнических сооружений на Висле, Днепре, Припяти и Днепро-Бугском канале. Суммарная стоимость проекта — около €12 млрд. Из них большая часть, €12 млрд — это работы на территории Польши, €96,2-171,2 млн — Беларуси и €31 млн — Украины.
events-0/paragraphs-4/text	<strong>Структура комиссии</strong>: Управляющий комитет — председатель Николай Тимофеевич Котецкий (генеральный директор РУЭСП «Днепро-Бугский водный путь»); секретариат — во главе Андрей Александрович Рекеш (раньше работал в РУЭСП «Днепро-Бугский водный путь»)
events-3/paragraphs-0/text	В состав международного консорциума входят:
events-3/paragraphs-2/text	<strong>Бюджет разработки <abbr title='технико-экономического обоснования'>ТЭО</abbr></strong>: € 365 тысяч.
events-5/date/year	2015
events-7/date/year	2015
events-0/title	первая сессия Трансграничной Комиссии по вопросам развития воднотранспортного соединения Е40 на участке Днепр-Висла
events-4/date/year	2015
events-6/date/monthDay	15 декабря
events-7/date/monthDay	16 декабря
events-1/paragraphs-0/text	согласовано техническое задание, которое легло в основу разработки <abbr title='технико-экономического обоснования'>ТЭО</abbr> восстановления водного пути Е40
events-3/paragraphs-1/text	<ul><li>Институт экономики перевозок и логистики (Германия)</li><li>Государственный проектно-изыскательский и научно-исследовательский институт морского транспорта «ЧерноморНИИпроект» (Украина)</li><li>Европейско-украинское агентство по бизнесу и инновациям (Германия)</li><li>Национальная академия наук Беларуси</li></ul>
events-3/date/monthDay	29 января
events-9/date/year	2017
events-10/date/monthDay	19 июля
title	История событий
events-0/place	Брест, Беларусь
events-4/title	консорциум по разработке <abbr title='технико-экономического обоснования'>ТЭО</abbr> представляет первые результаты своей работы
events-5/date/monthDay	17 ноября
events-6/title	экологический форум, на котором представлены результаты работы консорциума и обсуждаются возможные риски для окружающей среды
events-4/place	Луцк, Украина
events-5/title	вторая сессия Трансграничной Комиссии
events-6/date/year	2015
events-9/date/monthDay	26–27 июня
events-4/date/monthDay	15–17 июня
events-10/date/year	2017
events-0/date/year	2014
events-2/date/year	2014
events-3/title	подписание контракта с победителем тендера — международным консорциумом во главе с Морским институтом в Гданьске
events-9/paragraphs-0/text	<strong>Результат</strong>: обсужден проект развития трансграничного участка водного пути в районе Бреста, предусматривающий строительство нового порта. Определен перечень дополнительных исследований, которые должны быть проведены для принятия реализации следующей стадии проекта восстановления Е40.
events-10/place	Минск, Беларусь
events-0/paragraphs-0/text	В состав сессии входит более 70 человек из 7 организаций:
events-0/paragraphs-2/text	<strong>Задача</strong>: разработать проект «Восстановление магистрального водного пути Е40 на участке Днепр-Висла: от стратегии к планированию» в 2014-2015 годах.
events-9/title	второе заседание Белорусско-Польской рабочей группы по вопросам восстановления водного пути Е40
events-8/date/year	2016
events-0/paragraphs-1/text	<ul><li>РУЭСП «Днепро-Бугский водный путь» (ведущий партнер, Беларусь)</li><li>Брестский областной исполнительный комитет (Беларусь)</li><li>Местный фонд содействия развитию международного диалога и сотрудничества «Интеракция» (Беларусь)</li><li>Администрация маршалка Люблинского воеводства (Польша)</li><li>Ассоциация регионального и местного развития «Прогресс» (Польша)</li><li>Волынское областное управление водных ресурсов (Украина)</li><li>ОО «Волынская ассоциация ученых и инноваторов» (Украина)</li></ul>
events-8/title	первое заседание Белорусско-Польской рабочей группы по вопросам развития водного пути Е40
