#id	value
sections-0/profile/caption	Секретарь Комиссии Верховного Совета СССР по рассмотрению причин аварии на ЧАЭС, кандидат технических наук
sections-0/sections-0/paragraphs-0/text	Мониторинг регулярно проводят несколько ведомств, в частности, Республиканский центр по гидрометеорологии и МЧС. На заражённых территориях в основном выпал стронций, цезий и трансурановые. Но сейчас возникла новая проблема: плутоний-241 в процессе распада превращается в америций-241, распространение которого недостаточно изучено на данный момент. Поведение того же плутония-241 и −239 известно, потому что проводились испытания ядерного оружия, изучались последствия взрывов в Хиросиме и Нагасаки. Про америций-241 пока недостаточно информации и его поведение невозможно прогнозировать.
sections-1/profile/name	Валерий Домбровский
sections-1/sections-0/paragraphs-1/text	На территории Полесского заповедника всё ещё опасно вести какое-либо строительство. В 2011 году уже была аналогичная история с изменением его размера, тогда хотели отобрать часть территории и использовать её в хозяйственных целях. Была создана комиссия из представителей разных учреждений, и они дали однозначное заключение: нельзя трогать эту землю. Даже на условно чистых пространствах есть пятнышки с радиацией. Полесский заповедник похож на мозаику: в нем нет больших площадей, свободных от радиации. Так что не нужно менять установленные границы заповедника — это официальное заключение экспертной комиссии, и за шесть лет радиационный фон не изменился. По-моему, лучше сохранить заповедник со сложившейся экосистемой. Природа здесь уже почти восстановилась в том виде, в котором она была до появления человека.
sections-2/profile/caption	Заместитель председателя Национального экологического центра Украины, член экспертной группы Ukraine Nature Conservation Society
id	4
date	2017-07-31
sections-0/sections-1/paragraphs-0/text	Да, ил является аккумулятором радионуклидов. Если ил не трогать, то особой опасности нет, потому что в целом река чистая благодаря постоянному течению. Угроза состоит в том, что при проведении дноуглубительных работ ил может быть «растревожен» и может пойти вниз по течению Припяти и Днепру до Киевского водохранилища, а из него и связанных с ним водоемов получают воду около 30 миллионов украинцев. В Беларуси самые опасные участки находятся на территории Полесского радиационного заповедника, где живет не так много людей, но угроза всё равно сохраняется.
sections-1/sections-0/paragraphs-0/text	Согласно белорусским законам, на территории радиационного заповедника запрещена любая деятельность, кроме научной и природоохранной. Это регулируется Законом Республики Беларусь «<a href='http://kodeksy-by.com/zakon_rb_o_pravovom_rezhime_territorij_podvergshihsya_radioaktivnomu_zagryazneniyu_v_rezultate_katastrofy_na_chernobylskoj_aes.htm' title='О правовом режиме территорий, подвергшихся радиоактивному загрязнению в результате катастрофы на Чернобыльской АЭС'>О правовом режиме территорий, подвергшихся радиоактивному загрязнению в результате катастрофы на Чернобыльской АЭС</a>» и <a href='http://pravo.newsby.org/belarus/ukaz0/uk267.htm' title='Положение о заповеднике РБ'>Положением о заповеднике</a>. Но не так давно президент Беларуси Александр Лукашенко приезжал в наш заповедник и одобрил развитие хозяйственной деятельности. Поэтому теперь вполне могут изменить Положение о заповеднике, и тогда все строительные работы будут соответствовать документации.
sections-1/sections-1/paragraphs-0/text	С трудом представляю, как это возможно: там довольно низкое место и широкая пойма Припяти. Поэтому надо установить очень длинную плотину, чтобы ее перегородить, к тому же такая стройка вызовет разлив реки и затопление огромных территорий. Это опасно, потому что усилится миграция радионуклидов. Будут задеты трава и дёрн, которые со времён Чернобыльской аварии редко омываются водой, поэтому хранят радиацию в больших количествах, намного выше нормы. Также будут затронуты пойменные озера — это водоемы, которые соединяются с рекой во время весенних паводков. В них содержится гораздо больше радиоактивных элементов, чем в русле, потому что вода не циркулирует там постоянно.
sections-1/sections-2/title	Как может измениться ситуация в регионе, если водный путь Е40 всё же пройдет через Полесский заповедник?
sections-2/sections-0/paragraphs-0/text	Для Украины проект, возможно, таит наибольшую опасность. После Чернобыльской аварии, произошедшей в начале весеннего половодья, Припять смыла огромное количество зараженного песка в Киевское водохранилище. Благодаря оперативным инженерным мероприятиям удалось похоронить радиоактивный ил и песок на дне водохранилища. На протяжении 30 лет там нет фарватера, так как потревожив донные отложения, мы неизбежно направим зараженный ил в Киев. По этой причине Украина даже отказалась от проекта кольцевой дороги через водохранилище. Помимо этого, весь каскад водохранилищ в том регионе включен в «Изумрудную сеть» <sup><abbr title='совокупность природоохранных территорий, образующих единую экологическую сеть. Учреждена Советом Европы в 1996 году – прим.ред'>1</abbr></sup>. В русле Днепра находятся два заповедника, шесть национальных парков и более 20 ООПТ регионального значения. К тому же, дельта Припяти полностью входит в Чернобыльский радиационно-экологический биосферный заповедник, созданный в 2016 году президентом Украины Петром Порошенком.
sections-0/sections-1/paragraphs-1/text	Интересно то, что в существующих документах о восстановлении водного пути E40 только вскользь упоминается о том, что он пройдет через небезопасные места с залежами радионуклидов. По-моему, значительная часть обоснования должна быть посвящена именно радиологической составляющей. В целом, странно видеть этот проект. Когда я был ответственным секретарем Комиссии Верховного Совета СССР по преодолению последствий аварии на Чернобыльской АЭС, под нашим руководством экспертная группа разработала концепцию безопасного проживания в этих регионах. Эти земли были вычеркнуты из всех планов по хозяйственной деятельности на много лет, не было и речи о том, чтобы там что-то рыть, копать, пахать и выращивать.
sections-0/sections-2/paragraphs-0/text	Думаю, что особенного радиационного влияния на грузы не будет, разве что баржа сядет на мель и зачерпнёт тот же ил. Насчёт специальных технологий точно не могу сказать, потому что сам не сталкивался с очисткой барж — только с автомобилями, на выезде из Чернобыльской зоны их обдают водой из шланга, чтобы смыть радиоактивную пыль. Как я уже говорил, в отличие от машин, суда не будут особенно загрязняться, потому что сама по себе вода чистая.
sections-1/sections-0/title	Как регулируется проведения разного рода работ на территории Полесского радиационного заповедника?
sections-0/sections-2/title	Каким образом на грузы может влиять прохождение через радиоактивную зону? Есть ли какая-то технология по очищению судов?
sections-2/profile/name	Алексей Василюк
cover	/static/covers/xrays.jpeg
sections-0/sections-0/title	Какие белорусские ведомства должны проводить мониторинг заражённых радиацией территорий? Какие элементы представляют наибольшую опасность?
sections-0/sections-1/quote/text	«При проведении дноуглубительных работ ил может пойти вниз по течению Припяти и Днепру до Киевского водохранилища, а из него и связанных с ним водоемов получают воду около 30 миллионов украинцев»
slug	xrays
lead	Часть новой судоходной трассы будет проходить через территории, пострадавшие от аварии на Чернобыльской АЭС в 1986 году. В Беларуси это участок реки Припять, протекающий через Полесский радиационный заповедник, в Украине — участок Днепра, идущий через Чернобыльский биосферный заповедник. Белорусские и украинские эксперты рассказывают о том, какие последствия для радиационной обстановки в регионе может иметь строительство водного пути Е40.
sections-2/title	Алексей Василюк
sections-1/title	Валерий Домбровский
sections-2/sections-0/title	
sections-1/profile/portrait	/static/experts/dombrovsky@2x.jpg
sections-1/sections-1/title	Проект водного пути Е40 предусматривает изменение русла Припяти и строение плотины в районе города Наровля. Как бы вы прокомментировали эти планы?
sections-1/sections-1/quote/text	«С точки зрения экологии, реализация проекта Е40 равняется катастрофе, потому что пойма Припяти определяет всю жизнь Полесского заповедника»
sections-2/profile/portrait	/static/experts/vasiluk@2x.jpg
teaser	
sections-0/title	Юрий Воронежцев
sections-1/profile/caption	Кандидат биологических наук, сотрудник Полесского государственного радиационно-экологического заповедника
sections-0/sections-1/title	Есть предположение, что в иле накапливается много радионуклидов, и если его «потревожить», то может произойти повторное заражение. Это верно?
sections-1/sections-2/paragraphs-0/text	С точки зрения экологии, реализация проекта Е40 равняется катастрофе, потому что пойма Припяти определяет всю жизнь заповедника. Это уникальное место. Многие животные и птицы привязаны к ней на разных этапах своего жизненного цикла, поэтому если пойма будет изменена, возникнет угроза их существованию. В Европе почти нет пойменных дубрав, а в Полесском заповеднике они сохранились в довольно своеобразном виде. Если исчезнут они, пропадут и редкие виды животных, которые живут только там.
title	Чем угрожает строительство водного пути Е40 на заражённых радиацией территориях? Мнение экспертов.
sections-0/profile/portrait	/static/experts/voronezhcev@2x.jpg
sections-0/profile/name	Юрий Воронежцев
